text,actual_label,predicted_label,sentiment_score,translate
adro nyala ptba saham admr cbdk bbri indonesia bangga tetap aadi,positif,positif,0.667827348,adro turns on ptba shares admr cbdk bbri indonesia proud to remain aadi
bbri wkwkwk kapan,positif,negatif,-0.749630551,bbri wkwkwk when
gede wkwkwkwkwk cuman gaji lot mah bbri gue,negatif,negatif,-0.230180288,big hahahaha ...
bbri wkwkwk,negatif,negatif,-0.594791419,bbri hahaha
anjlok nih ribu tengsin bbri gue,negatif,negatif,-0.860320939,"my bbr has plummeted, making me tensed"
bbri wkw jangan,negatif,negatif,-0.551540237,bbri wkw don't
ngebawa lu esok kntllllll bbri turun emiten kntlllllll bisa banyak cutloss hari,negatif,negatif,-0.780005099,bring you tomorrow kntllllll bbri down issuer kntllllll can cutloss a lot today
apa saham bbri terus kira kartu berapa beli ambil pokemon egk enggak punya buat mending,negatif,negatif,-0.361682178,"what are bbri shares then guess how many cards to buy, take pokemon, don't have any, it's better"
banks bmri catat bbni bri diri rp performa big bank laba besar tahun panjang bbri t bbca,positif,positif,0.939472296,banks bmri notes bbni bri diri rp performance big bank big profit long year bbri t bbca
bawah term trading weakness idea bbri potensi buy naik on beli februari short area cutloss break,positif,positif,0.878562412,below term trading weakness idea bbri potential buy up on buy february short area cutloss break
tlkm gulita jangan habis kuatir bbri gelap aadi,negatif,negatif,-0.491117916,tlkm pitch black don't worry bbri dark aadi
lebih youtube tetap keburu penting jangan tumbuh bbri kerja kokoh terus fundamental panik drama data,positif,positif,0.916692088,more youtube still hurry important don't grow bbri work solid continue fundamental panic drama data
imbas kena korelasi umum semua saham kamu sih hampir bbri sini ratu prospek bbca baca pasar,negatif,negatif,-0.525673742,the impact of the general correlation of all your shares is almost bbri here queen prospects bbc read the market
apa butuh taro dipindahin bank mandiri negara saham sih kaya orang bagaimana dong bbri insight buat better,netral,netral,0,do you need to transfer the mandiri bank shares to other people? how do you give insight to make it better?
serok nyata cinta lot bbri tanggal makin yuk,positif,positif,0.610818421,real scoop love lot bbri date more yuk
putus paling bodoh aku antm bbri beli jual buat laku pernah,negatif,negatif,-0.528301222,the most stupid break up i ever had antm bbri buy sell to sell
bmri tahun ahli profitable sisa mau bbri average juta down tuju mahal sekian antara ikut beli bbca kira buat apa please uang saham advise lalu,netral,negatif,-0.444202103,bmri year expert profitable remaining want bbri average million down seven expensive so much between joining buy bbc guess what for please money shares advise then
bmri tlkm cpin indf adro bbni brpt klbf goto untr bbri tpia icbp amrt ammn msci bbca asi,netral,netral,0,bmri tlkm cpin indf adro bbni brpt klbf goto untr bbri tpia icbp amrt ammn msci bbca asi
bmri bulan berdarahdarah hubung hari semenjak bbri beberapa tlkm kabur danantara persepsi investor punya wacana besar saham bayang asing turun lalu shg buruk,negatif,negatif,-0.49090546,bmri bloody month connect days since bbri some tlkm run away and between investor perceptions have big discourse foreign shadow shares fall then so bad
apa darah bmri weekly ihsg biasa awal tahun bbri gue noh cuan chart luber malah jelek,negatif,negatif,-0.707869458,what is the blood bmri weekly ihsg normal at the beginning of the year my bbri noh profit chart overflows but it's bad
sikaatt bbri dong jebolll bawah,positif,negatif,-0.430770205,sikaatt bbri dong jebolll bottom
bmri tlkm bbni lu danantara fuck bbri flop,negatif,netral,0,bmri tlkm bbni you danantara fuck bbri flop
merosottttttt kak bbri sedih maaf,negatif,negatif,-0.582254388,dropping sis bbri sad sorry
bmri wah asyuuuk sama bakar bbri bbca,negatif,negatif,-0.414832309,bmri wow cool same as burning bbri bbca
dalem bbri kayak bakal makin negatif,negatif,negatif,-0.567264369,in bbri it seems like it will be more negative
hanya fear saham mimpi persero cari asing baik turun kerja invest balik tebar bbri biar shm ritel harga,negatif,negatif,-0.670982724,"just fear of dream shares of the company looking for foreigners, both to go down to work, invest back, spread bbr so that shm retail prices"
buyback bri rp bbri t siap,positif,positif,0.97973234,buyback bri rp bbri t ready
bmri bbri susul,netral,netral,0,bmri bbri follow up
apa besok kalo sahabat dapat enggak kalian,netral,negatif,-0.391503367,will your friends be able to do it tomorrow?
bmri tutup level buy triliun hari kuat catat bbri market tlkm net investor bijak update gainers properti sektor top ihsg uang rp feb asing bunga dorong suku tetap,positif,positif,0.947140811,bmri closes buy level trillion strong day record bbri market tlkm net wise investor update gainers property sector top ihsg money rp feb foreign interest push rates steady
bbni jangan tinggi kau dungu yakali mau bbri tebar lae sendiri harga ca buyback lu lah beli benci bodoh saham,negatif,negatif,-0.335082819,bbni don't be high you're stupid if you want to spread bbri yourself buy back price you buy hate stupid shares
saham bbri turun terus valuasi tarik makin harga,positif,negatif,-0.893494309,"bbri shares continue to fall, valuation pulls prices higher"
kalo kapar topang kini contoh tinggal lebiuh bbri makin ha perkasa tak kabur hapasti daya lihat ihsg biasa asing kaget,negatif,negatif,-0.623583097,"if the ship supports now, for example, it's just more powerful, it won't run away, it's certain that the ihsg's power is normal, foreigners are surprised"
milik tuh padahal bahkan cuma wah lembar arti glorifikasi orang mulai bbri juta ngampe basic henti ajar kira enggak saham kasih dikit pernah,negatif,negatif,-0.589637695,that's mine even though it's just a sheet of meaning glorification people start giving millions to the basic stop teaching think not share give a little ever
kali star bbri beli aku pertama,positif,netral,0,this time star bbri bought me first
ihsg saham bakar asing pilih bbri bris koleksi,positif,negatif,-0.490751444,ihsg foreign fuel stocks choose bbri bris collection
buyback saran saham rp bbri t buy analis sentimen tengah beri,positif,positif,0.882573877,"buyback suggestion for rp bbri t buy shares, sentiment analysts are giving"
rugpull saham yakali lah dibeliin bbri gila mending,positif,negatif,-0.642296696,rugpull shares maybe buy bbri crazy better
tunggu bbri setia,positif,netral,0,wait for loyal bbri
alas paling trading aci saham lah buat hype pakai bakal siap beli enggak kata pahlawan time,positif,negatif,-0.427938821,"the best basis for trading in shares is to create hype and use it to be ready to buy or not, says the hero of the time"
cpin ot amrt cute bbri transaksi plus main portofolio copeet p bbca warteg semua kok saham jo ijo by asi,netral,netral,0,cpin ot amrt cute bbri transaction plus main portfolio copeet p bbca warteg all kok jo ijo shares by asi
running kok bank bbni iseng tebal lot sektor bbri banget mantengin jumbo mantap trade belanja bbca,positif,positif,0.414632508,running why is bbni bank so thick lot sector bbri really watching jumbo steady trade shopping bbca
buyback saham rp investor mau bbri triliun siapsiap,positif,positif,0.947578558,buyback shares rp investors want bbri trillion get ready
bmri suatu level negara nya ekonomi rupiah bbri bagus jeblok sector lemah indonesia tanda bbca enggak banking kondisi cermin ihsg usd sekarang ambles,negatif,negatif,-0.898102936,bmri a country level its economy rupiah bbri good slump weak sector indonesia sign bbca not banking mirror condition ihsg usd now slumping
hancur saham skema strategin via bbri begini siap kasus,negatif,negatif,-0.710277687,destroyed stock strategic scheme via bbri like this ready case
genjrang gua sih jangan mah bbri sekarang tengah genjreng kata,negatif,negatif,-0.68381269,"i don't think i'm going to get angry, bbri is currently getting angry"
apa nyangkut kwoakwoa enggak bisa tahun bbri fix,negatif,negatif,-0.743973232,what's the problem with kwoakwoa not being able to fix it in bri?
murah lebih goreng bbri masuk baru tunggu,positif,negatif,-0.29508932,cheap more fried bbri come in then wait
bulan kalo akhir tahun nya lama bbri iya maret bagus harga bawah buyback sangat lihat anjlok saham performa utama,netral,negatif,-0.578154931,month if the end of the year is long bbri yes march good low price buyback very see the main performance shares plummet
borong gin via bbri kata,positif,netral,0,wholesale gin via bbri word
bbri bbca nyaris anjlokkkk,negatif,netral,0,bbri bbca almost plummeted
bmri xandra direksi reversal contoh sinyal patut langsung besok panjang koreksi bbri ritel rupa kalau cantik khas dulu beli tarik jelas kasus amp geliat malah nyangkut angka mbak,netral,negatif,-0.715238282,bmri xandra directors reversal example signal should be direct tomorrow long correction bbri retail appearance if beautiful typical first buy pull clear case amp wriggling even stuck numbers sis
murah banding ip bbri pas cowonya lumayan buru up beli top,positif,positif,0.774494022,"cheap compared to bbri ip, when the guy is in a hurry to buy a top"
pilih,netral,negatif,-0.338266912,choose
bmri besok bbni xixi saham ll sih bbri turun we,netral,negatif,-0.314314769,bmri tomorrow bbni xixi shares ll bbri will go down we
ihsg kapan saham sih parah bbri banget rebound gila hari,negatif,negatif,-0.855998756,ihsg when the stock is really bad bbri really crazy rebound today
jualbeli hit pribadi bbri analisa januari mungkin sekarang prediksi aja bukan,netral,negatif,-0.461975302,personal hit buy sell bbri analysis january maybe now just prediction not
bmri awas hasil publikasi bbni akuntan publik audit kredibel bank kode akses tbk website bbri kap merah idx kantor bbtn usaha ojk independen semua luas plat,netral,negatif,-0.257449599,bmri watch out for bbni publication results credible public accountant audit bank access code tbk bbri website kap merah idx bbtn office independent ojk business all plate area
bmri tutup jual bbri kemarin miliar technical net naik view inkp serta banyak mdka bbca ihsg paling saham asing sell,negatif,negatif,-0.960825662,bmri closed selling bbri yesterday billion technical net rose view inkp and many mdka bbca ihsg most foreign stocks sell
lah an bbri pas kemarin masuk enggak,netral,negatif,-0.554794623,did the bbri come in yesterday?
bmri putus tahan rebound sentimen alami sahamsaham bbri bi tunjuk naik stabil properti sektor masingmasing uang performa bunga dorong suku positif pasar,positif,positif,0.939260106,bmri breaks hold rebound natural sentiment bbri shares bi shows stable increase property sector each money performance interest rate push positive market rate
bbri lewat jir stres,negatif,negatif,-0.537275619,bbri through jir stress
bbri kayak sap mana,netral,negatif,-0.549542642,bbri like sap where
bos kali fear saham cari ayo mau lot source bbri tebar kasih aku,positif,positif,0.47940566,"boss, i'm afraid of stocks, come on, i want lots, source bbri, spread them, give them to me"
jeblok lebih saham sih bbri aman bbca,negatif,negatif,-0.542154919,"bbri shares are more slump, bbca is safe"
bbri via berapa,netral,netral,0,bbri via how much
kak deviden emmg kapan bagi bbri,netral,negatif,-0.333874756,"bro, when will bri distribute dividends?"
bbri bang bmri,netral,netral,0,bbri bro bmri
kena langsung jokowi danantara terjun mau deh bbri rebound hidup seperti,negatif,negatif,-0.667576565,"hit directly by jokowi and antara, i want to jump and bbri will rebound and live like"
kontrol takut usaha kalo wkwkwk danantara terlalu perintah mau misal avg bbri down harga dapur covid,negatif,negatif,-0.700510051,control fear of trying if wkwkwk andantara too much command want for example avg bbri down kitchen price covid
izin usaha bank anak ojk emas antm bbri buy bullion gadai beri layan,positif,netral,0,business license for subsidiary banks ojk gold antm bbri buy bullion pawn give service
serok anjlok mulia ekonomi under dibelanjain mau banget bbri tunggu logam gambling,negatif,negatif,-0.329642455,serak plummeted noble economy under spent really want bbri waiting for gambling metal
sih bbri dulu tunggu enggak dibailout,negatif,positif,0.427688342,bbri first wait until it's bailed out
enggak bisa itungannya jadi nya lembar wah yakan tanya bbri kesan imingan memang bawah regulermarket lot beli simple saham dikit pasar,negatif,negatif,-0.237378747,"can't count so it's a sheet, wow, right? ask bbr, the impression is that the lure is indeed below the regular market lot, buy simple shares, a little bit of the market"
bbri bbca,netral,netral,0,bbri bbca
goreng saham tahi bbri kayak memang,negatif,negatif,-0.863735656,fried dung stock bbri like indeed
apa bohong besar bisnis jalan bilang bbri fundamental angka youtuber untung enggak tetap kuat,positif,positif,0.953362189,what a big lie business road says bbri fundamental youtuber numbers profit not remain strong
tetap bisnis sama jangan jalan kembang bbri cuannya terus ragu fundamental kuat,positif,positif,0.978311555,"keep doing the same business, don't let the profits continue to grow and doubt the strength of the fundamentals"
minoritas cara danantara saham sama milik tanya modal bagaimana bbri dividen masuk minta suntik mayor punya kalian,negatif,netral,0,minority way between shares and property ask how capital bbri dividends come in ask for injection major yours
saham bocor laba naik bbri dividen tipis,netral,positif,0.732577683,leaking stock profit increases bbri thin dividend
saham bahas bbri pantas begini uptren dimanamana,netral,negatif,-0.611504981,"bbri stock discussion deserves to be like this, uptrend everywhere"
bmri putus tahan signifikan catat bbri bi tunjuk percaya investor naik indonesia beli tanda sektor laku uang saham performa asing bunga agresif tingkat suku positif pasar,positif,positif,0.984052605,bmri break significant resistance record bbri bi shows investor confidence up indonesia buy sign sector sell money stock performance foreign interest aggressive rate positive market
kuat tetap tumbuh bbri soal stabil banyak fundamental fakta nakutnakutin,positif,positif,0.983166767,strong keep growing bbri stable question many fundamental facts scary
diomongin uang saham yakin cek bbri kalau kualitas lapor makin negatif,positif,positif,0.703179459,"talking about stock money, be sure to check bbr if the quality of the report is getting more negative"
najis sama parah bbri gue enggak mau cuih ilfeel cutloss,negatif,negatif,-0.983873102,unclean and bad bbri i don't want to cheat on ilfeel cutloss
buset bbri kayak micin koin,negatif,negatif,-0.726299901,wow bbri looks like msg coin
bulan bang kalo wkwk modal avg lai bbri tiap cut unv bbkp cicil biar bbca down tinggal,positif,negatif,-0.298392041,month bro if wkwk average capital lai bbri every cut unv bbkp installments so bca down just stay
kocak kalo bbri terigu jual jebol mending,negatif,negatif,-0.834749247,"it's funny if the wheat flour sales are broken, it's better"
bbri kuuuu nyala,positif,positif,0.968823186,my bbri is on
lot bbri loh nyicil baru aku malah,positif,negatif,-0.260560121,"lot bbri, you know, i'm just paying in installments"
lewat kok nyata heran bbri pasang banget sempat mulu wkwkwkk merah ads,negatif,negatif,-0.660895962,"passing by, really surprised, bbri is really installed, it's always red, wkwkwkk, ads"
banks bang bmri bbni on bank naratif big emas ramadhan mulai bbri mana toba danantara haji siap amp data pandu lewat disc awal bris dyor bukan nfa credit keep rejeki sjahrir,netral,positif,0.520214461,banks bang bmri bbni on bank narrative big gold ramadhan start bbri where toba danantara haji ready amp data guide through disc early bris dyor not nfa credit keep rejeki sjahrir
obses sama tuh orang bbri,netral,negatif,-0.610628269,obsessed with that person bbri
is buagus ancuran bbri banget dead fundamental,negatif,negatif,-0.832708368,is buagus ancuran bbri banget dead fundamental
bbri belik kalian we,negatif,negatif,-0.460486752,bbri buy you guys we
saham via bbri turun kemarin kasus bongkar,negatif,negatif,-0.616704945,shares via bbri fell yesterday due to the dismantling case
bijak view trump bagaimana,netral,negatif,-0.326349687,wise view of trump how
bbri go wkkwkwk ihsg,netral,negatif,-0.755666861,bbri go wkwkwk ihsg
apa saham sama asing bbri sunarso benar mainin tahu,negatif,negatif,-0.408549174,"what shares with foreigners is bri sunarso really playing, you know?"
bmri april kak mandiri sama bbri dividen masuk aku ngincer wkkw,netral,positif,0.428982264,bmri april sis mandiri and bbri dividends come in i'm eyeing it wkkw
serok asing via bbri balik begini bakal arah harga,positif,positif,0.659982631,foreigners scoop via bbri back like this will be the price direction
bmri tlkm dev bbni bagaimana kalau bbri,netral,netral,0,bmri tlkm dev bbni what about bbri
bmri bumn lebih saham penting bilang kan bbri selamatin selamat,negatif,negatif,-0.320679129,bmri bumn more important shares say bbri save save
alas meski paling bri saham gejolak sedang buru pasar,positif,positif,0.672590444,base although most bri stocks are currently in turmoil market hunt
laba sunarso direktur triliun langsung banding press release bbri tegur lawan influencer dapat bersih mediadefinisi rp tanggap sini utama,netral,positif,0.749248244,profit sunarso director trillion direct appeal press release bbri reprimands opponent influencer can clean media definition rp respond here main
bbri ngntoottt,negatif,netral,0,bbri ngntooottt
banks bmri gede bbni dbc digebukin lumayan rebound cuma big bbri nilai kemarin dead transaksi bounce cat bbca saham,negatif,negatif,-0.236041812,big banks bmri bbni dbc were beaten up quite a rebound only big bbri yesterday's value was dead transaction bounce cat bbca shares
bbri inalillahi,negatif,netral,0,bbri inalillahi
bmri penting bbri ijo porto biar wifi merah harga,negatif,negatif,-0.868703362,bmri important bbri green porto so wifi red price
gelapp bbni saham ajar bbri fak jadi beli baru sekarang malah,negatif,negatif,-0.603797542,dark bbni shares teach bbri fak so buy new ones now instead
kali datang permisi bilang bbri kemarin xx siapa,netral,netral,0,when you come excuse me say bbri yesterday xx who
yaharganya bbri masuk aman murce sekarang enggak,netral,negatif,-0.262788686,"yes, the price of bbr is safe, is it cheap now or not?"
sulit kalo anjing lah kur bbri benar memang hutang,negatif,negatif,-0.802074955,"it's difficult if it's a dog, it's true that it's a debt"
serok saran mau baik bbri dulu ragu inves sekarang,positif,negatif,-0.463801887,scoop up advice want good bbri first doubt invest now
bos via gilir bbri bbca beri komentar,netral,netral,0,boss via bbri bbca give comments
titip nyangkut btw kabur kamu dialihin kan tahun bbri mana versi dulu bakal barang situ bagus hidup,negatif,negatif,-0.582398725,"btw you're stuck on the deposit, you're running away, you were diverted, right? which year was the old version of bbr? your stuff will be good to live in"
bank sama big mau bbri rasa tinggal pegang,negatif,negatif,-0.681432534,bank and big want bbri taste just hold it
nabung kalo bni model pertamina telkom saran kelola mandiri persero bbri gue id usaha pt danantara begini indonesia industry mining aset bumn paling benar pln kayak mind gadang baca,negatif,netral,0,save if bni model pertamina telkom advice manage independently persero bbri my id business pt danantara like this indonesia industry mining assets bumn most correct pln like mind gadang read
tangga timpa jatuh bbri beli malah,negatif,negatif,-0.855331633,ladder fell down bbri bought instead
ptro besar saham investor cbdk peluang bbri siap cuan,positif,positif,0.681234532,big ptro cbdk investor shares bbri opportunity ready for profit
ltjuta kalo turun bbri nilai sekarang punya,negatif,negatif,-0.685534629,ltmillion if it goes down bbri current value has
buyback bank bbni saham rencana bbri prospek,positif,positif,0.893152144,buyback bank bbni shares bbri plan prospects
rp laba fy emiten kerja bbri update triliun bbca,positif,positif,0.655885368,rp profit fy issuer work bbri update trillion bbca
bmri bumn biru bank swasta bbri warna bbca,netral,negatif,-0.27585545,bmri bumn blue private bank bbri color bbca
saham bentar wkkwkwk bbri dulu berapa beli harga,netral,negatif,-0.659118868,wait a minute wkwkwk first give me how much i bought the shares for
bbri bbca diskon,positif,positif,0.709526808,bbri bbca discount
ayo foreign cut lama jamaah loss bbri biar ritel market tampung sakit lah banyak n dukung maker terus sehat,negatif,negatif,-0.873088039,"come on, foreign cut, long time bbr loss congregation, so that the retail market can accommodate the many sick and support the makers to stay healthy"
farma isat on sapa pgnreit and bank tbk bbri dbs pt saw wig klbf indosat indonesia insights rakyat reit ij the paragon kalbe,netral,negatif,-0.216456772,farma isat on sapa pgnreit and bank tbk bbri dbs pt saw wig klbf indosat indonesia insights rakyat reit ij the paragon kalbe
bbri enggak ngedrop bakal,negatif,positif,0.735116365,bbri won't drop
kali saham rp bbri nilai juta transaksi frekuensi triliun banyak,netral,positif,0.80204312,times rp bbri stock value million transaction frequency trillion many
bmri gera buy jadi signifikan alami catat sahamsaham bbri bi tunjuk utama net investor naik substansial indonesia sektor uang saham asing turun bunga dorong suku positif pasar,positif,positif,0.988439049,bmri gera buy so significant natural record bbri shares bi shows main net investor substantial increase indonesia money sector foreign shares down interest push positive market rate
saham pindahin wkwk mau bbri jual bbca ane,negatif,negatif,-0.497278611,share transfer wkwk want to give bbc sell my bbc
buyback umum buka rupst saham rp rencana bahas informasi bbri kira periode triliun nila maret,positif,positif,0.77072894,general buyback opens rupst shares rp plan discusses information bbri kira period trillion value march
side tim kiri kapan pusing sc pikir your bbri kanan algo choose eth research kalian,netral,negatif,-0.619191647,side left team when dizzy sc think your bbri right algo choose eth research you guys
oke bmri bbni bbri pindah masal jual bbca baca,negatif,negatif,-0.667040689,okay bmri bbni bbri mass move sell bbca read
semua downgradein saham etf outflow morgan mulai bbri otomatis september ikut jual fund jp mentrigger,negatif,negatif,-0.642533365,all downgradein stock etf outflow morgan starting bbr automatically september also sell fund jp trigger
bmri bbni akhir masuk salah cuma hari and enggak ada perintah bbri gue cmiiw mkt bawah tlkm danantara framing enggak top benci se bumn ihsg sama banget turun by cap,negatif,negatif,-0.730302287,bmri bbni end wrong entry only day and no bbri order me cmiiw mkt below tlkm danantara framing not top hate se bumn ihsg same really down by cap
ude awal tahun mulai bbri turun memang,negatif,negatif,-0.845303246,"at the beginning of the year, bri started to go down indeed"
senin senyum lama shopping awal minggu bbri kemarin pagi hari bbca full,positif,negatif,-0.383661258,monday smile long shopping early week bbri yesterday morning bbc full
ihsg goreng bbri kayak makin himbara,positif,negatif,-0.874580948,ihsg fried bbri seems to be getting more expensive
positif capai bank rp kredit depan investor tahun tumbuh bbri t umkm stabil sinyal optimistis tetap target,positif,positif,0.872106206,positive reach bank rp credit front investor year grow bbri t umkm stable optimistic signal remains target
bbri merah,negatif,negatif,-0.89695401,red bbri
usaha tetap solid prospektif bbri fundamental,positif,positif,0.972654163,business remains solid prospective bbri fundamental
pulang maklum kalo bawa bara porto mungkin merah emosi hari paksu,negatif,negatif,-0.690955752,"come home, understand that if you bring coal, porto might be red with emotion on the day of the paksu"
makin bbri rontok,negatif,negatif,-0.796393261,more and more bbri falls out
analysis wave turun elliott bbri tren selesai,netral,negatif,-0.614411168,analysis wave down elliott bbri trend finished
bbri bbca rem,negatif,netral,0,bbri bbca brake
aowkwk sih asa supportnya bbri rebound mulu enggak ambles,negatif,negatif,-0.613823588,aowkwk i hope the support from bbr will always rebound and not collapse
bmri bbni bri rencana aksi jadi bni triliun himbara bank mandiri bbri nila buyback naik saham rp awal sama,positif,positif,0.884074044,bmri bbni bri action plan to become bni trillion himbara bank mandiri bbri buyback value increases initial shares rp same
bmri fokus bbni kalo people alot bbri mostly buka cek begini bbca kondisi saham sama terlalu kayak bris suku,netral,negatif,-0.557387335,bmri focus bbni if ​​people are tough bbri mostly open check like this bbca stock condition same too like bris suku
gede via bbri potensi dividen begini,positif,positif,0.654909792,big via bbri potential dividend like this
jebol tau seram euy iseng wkwk posisi bbri notif match bakal enggak ira kaget naruh,negatif,negatif,-0.391224254,"it's broken, you know it's scary, just messing around, lol, the position of the bbri match notification will not make you surprised if you put it"
serok bang ihsg trend gapapa turun bbri hold memang,positif,negatif,-0.474298289,scoop up bang ihsg trend it's okay to go down bbri hold indeed
kalo tambah bank bbri isu danantara anjing neraka lah ambrol nyungsep enggak ihsg paling junam jatuh deh bunga jurang dasar suku,negatif,negatif,-0.805068735,"if you add bri bank, the issue is that between the hellhounds, it will collapse, the jci will plummet, the interest rate will fall, the basic interest rate will fall"
bmri bbni milik holding negara pertamina mineral telkom mandiri bank industri persero bbri beberapa tambang id tlkm pt usaha danantara indonesia rakyat bumn pln mind,netral,netral,0,bmri bbni state holding company pertamina mineral telkom mandiri bank industri persero bbri several mines id tlkm pt usaha danantara indonesia rakyat bumn pln mind
buyback saham mau bbri dana triliun,positif,positif,0.567911336,share buyback wants to provide trillions of funds
bohong tetap solid nakutnakutin bbri soal banyak enggak fundamental data,positif,positif,0.978930574,lie still solid scare bbri about many non-fundamental data
mom kejut inflasi as tahun guncang naik pasar,negatif,positif,0.702351757,mom shock inflation as year shakes up market
uang danantara saham bagaimana presiden rilis prabowo amp hari reaksi pasar,netral,netral,0,money andbetween stocks how president release prabowo amp day market reaction
langsung agro nawar aplikasi rejek bbri hilang signal mulu aku malah,negatif,negatif,-0.643598795,"agro immediately offered the bbri rejeki application, the signal kept disappearing, instead i"
takut tetap bisnis jangan makan kembang bbri fundamental cuan alir punya kuat,positif,positif,0.988155905,afraid to keep doing business don't eat flowers bbri fundamentals of profit flow have strong
bbri wallahi astagfirullah,negatif,netral,0,bbri wallahi astagfirullah
mau bbri iniiii ku bawa,netral,negatif,-0.775131005,"i want to give this to you, i'll take it with me"
market lihat berani bbri dulu enggak avg,netral,negatif,-0.834881012,market see dare to give first not avg
saham nasib allah bagaimana bbri ku,negatif,negatif,-0.525951089,share with god's fate how my bri is
stabil uang bisnis bbri kerja terus mainmain lapor cuan enggak kuat,positif,positif,0.968114909,stable money business bbri work keep playing around report profit can't hold up
pengin om baik bbri tadi geser noted,netral,negatif,-0.417918971,"i want to say good uncle, i just moved the notes"
tlkm konsisten evakuasi mau bbri benam longsor kadang rasa amp,negatif,negatif,-0.32889704,tlkm consistent evacuation want to bury landslide sometimes feels amp
kaya milik wait bank lepas mau rekening bbri gue ada bagus isi bakal enggak n dantara saham sih singgung minim,negatif,negatif,-0.661778562,"it's like waiting for a bank, i want my bri account to have good content, will it or not, and between shares, there's minimal contact"
pt bank bri saham rp tbk dagang bbri turun kemarin indonesia rakyat februari,negatif,positif,0.625155221,pt bank bri shares rp tbk dagang bbri fell yesterday indonesia rakyat february
hancur semenjak asa bbri jadi sekarang enggak,negatif,negatif,-0.779298115,destroyed since hope bbri so now not
saham kembang coba launching bbri mana tunjuk tukik tanda,negatif,negatif,-0.254332367,flower shares try to launch bbri which shows signs of hatchlings
semua wkwk tahan bbri tembus asemm gila,negatif,negatif,-0.60444741,"all wkwk can withstand the bbr, it's really sour"
akumulasi saham asing investor bbri jadi diamdiam target,positif,netral,0,accumulation of foreign shares bbri investors become secret target
bbri yaampun jangan saham,negatif,negatif,-0.647842999,bbri oh my gosh not shares
meski lebih tidur health danantara mimpi bayang bye bbri rugi sangat tenang nyenyak berat mental buruk i utama,negatif,negatif,-0.801089647,even though more sleep health and between dreams shadow bye bbri loss very calm soundly heavy mental bad i main
solid bbri soal konten lawan enggak fundamental negatif,positif,positif,0.843292385,solid bbri about opposing content is not fundamentally negative
bbri bro berapa minus,negatif,negatif,-0.606812372,bbri bro how much minus
