created_at,text,translate,actual_label,SVM_label,sentiment_score
2025-02-15 20:02:59+00:00,bingung banget makin hari makin terjun padahal mau plan lm nyangkut bbri sama bnga,"I'm really confused, I'm getting more and more confused every day, even though I want to plan my next trip, I'm still stuck with my sister and my brother.",negatif,negatif,-0.9767226657
2025-02-16 09:48:06+00:00,tadi mau serok stock bbri cuma ngeringeri mental siap jadi kaya serok rdo bismillah mau coba naro bahana,"I was going to take out BRI stock, I was just mentally cringing, ready to be rich, Bismillah, I want to try naro Bahana.",negatif,positif,0.8234147552
2025-02-16 15:47:12+00:00,bang saham kayak bbca bbri bmri kan,"Bro, shares are like BBCA, BRI, BMRI, right?",netral,netral,0
2025-02-17 00:02:55+00:00,kerja bbri ku lebih baik banding ku lihat dasar turun ckpn posisi ku nya turun banding posisi ku nya,My bbri work is better than I see the basis of going down when my position goes down compared to my position,positif,negatif,-0.7557280855
2025-02-17 01:50:55+00:00,target bbri jangka panjang,long-term bbri targets,netral,netral,0
2025-02-17 07:20:03+00:00,pantau bmri bbni bbri justru tingkat lumayan signifikan hari,monitor bmri bbni bbri precisely the level is quite significant today,positif,positif,0.5460970068
2025-02-17 08:16:56+00:00,gue sesal sell kemarin pas koreksi pengin masuk pas takuk makin dalem akhir pel perban bnga bmri sama bbri,"I regret selling yesterday when I was correcting it, I wanted to go in when the notch got deeper and deeper, finally the bandage was on, BMRI and BBR",positif,negatif,-0.8740176751
2025-02-17 10:50:53+00:00,gajadi jual terigu nih bbri close tudey sent kali,gajadi jual tepung nih bbri close tudey sent kali,positif,negatif,-0.5107439525
2025-02-17 14:07:54+00:00,apa tarik bbri nya ganti bluechip,What about pulling BBR to replace blue chip?,negatif,netral,0
2025-02-17 14:35:49+00:00,weekly mesti mantul bbri,weekly must bounce bbri,positif,negatif,-0.3291792051
2025-02-17 14:40:26+00:00,cl bbri enggak sih,cl bbri no,netral,negatif,-0.8098746469
2025-02-17 14:52:55+00:00,danantara mulai rame dengar gaung bulan november jujur degan haha takut bbri sama ptba enggak dividen terus kalo jepang cuma bni datang kantor jadi wni kayak enggak hari waswas,"Danantara is starting to get busy hearing the echo of November, honestly haha, I'm afraid BRI and PTBA won't get dividends, and if Japan only comes to the office, it will be like being an Indonesian citizen, not having a day of anxiety.",netral,negatif,-0.4835262839
2025-02-17 16:04:20+00:00,tanya sama grok nyata saham bbri rontok black rock lepas saham bbri,ask real grok bbri shares fall black rock releases bbri shares,negatif,netral,0
2025-02-17 16:13:41+00:00,simpan bmri bbri mending buru ngungsi bbca,save bmri bbri better hurry up and evacuate bbc,negatif,negatif,-0.2754707034
2025-02-18 01:10:19+00:00,kerja btps posisi ku jauh lebih baik banding ku nya turun ckpn cukup signifikan kondisi mirip bbri kata faktor event pilkada konfirmasi mampu buat daya beli masyarakat naik,"My position at BTPS is much better than mine, but the CKPN has dropped significantly. Conditions similar to BBR said that the regional election event factor was confirmed to be able to increase people's purchasing power.",positif,negatif,-0.49586614
2025-02-18 02:08:53+00:00,bbri borong kata gin via,bbri wholesale word gin via,positif,netral,0
2025-02-18 03:16:16+00:00,saham bbri potensi bentuk pattern double bottom konfirmasi breakout channel,"Bbri shares have the potential to form a double bottom pattern, confirming a channel breakout",positif,negatif,-0.3309040688
2025-02-18 03:20:32+00:00,iseng mantengin running trade kok bbri bbni bbca tebal banget belanja lot jumbo mantap sektor bank,"Just for fun, keep an eye on running trade, why is BBR, BNI, BBCA so thick? Buying jumbo lots is great, banking sector",positif,positif,0.4970824492
2025-02-18 07:30:00+00:00,strategi bri bbri jaga tumbuh bisnis tengah ketidakpastian global,BRI's strategy to maintain business growth amidst global uncertainty,netral,positif,0.6775762374
2025-02-18 08:13:12+00:00,dirut bri bbri sunarso sebut bahaya panas global pamer realisasi kredit lanjut,"BRI CEO Sunarso mentions the danger of global warming, shows off continued credit realization",netral,negatif,-0.2150408414
2025-02-18 10:53:10+00:00,bbri sesuai target semua,bbri meets all targets,netral,netral,0
2025-02-18 13:10:39+00:00,jangan mudah pengaruh fundamental bbri tetap solid tengah bagai isu,"Don't be easily influenced by the fundamentals of BBR, which remain solid amidst issues.",positif,positif,0.7481111887
2025-02-19 02:28:42+00:00,aksi corporation buyback saham bank himbara bbri bakal buyback saham nilai rp t bmri bakal buyback saham nilai rp t bbni bakal buyback saham awal rp sama jadi rp t kalian pilih mana buat koleksi wkwkwk,"Himbara Bank's share buyback action, BBR will buy back shares worth Rp t, BMRI will buy back shares worth Rp t, BNI will buy back shares from the same initial Rp to Rp t, which one do you choose for your collection, wkwkwk",positif,positif,0.8658098376
2025-02-19 02:46:48+00:00,bbri makin turun peluang ancam via,bbri increasingly decreases the opportunity to threaten via,netral,negatif,-0.8359131228
2025-02-19 03:05:17+00:00,maksud lu lu punya reksadana obligasi isi saham bbri,What you mean is you have a bond mutual fund containing BRI shares,netral,negatif,-0.3194872752
2025-02-19 03:23:02+00:00,aksi buyback saham bank himbara bbri bank bri buyback saham nila rp triliun bmri bank mandiri buyback saham nila rp triliun bbni bank bni awal rencana buyback rp sama naik jadi rp triliun,"Himbara Bank share buyback action, BBR Bank BRI share buyback worth Rp trillion, BMRI Bank Mandiri share buyback worth Rp trillion, BNI Bank BNI initial buyback plan Rp sama increased to Rp trillion",positif,positif,0.9222670366
2025-02-19 09:06:43+00:00,bbri ku selamat harga meski minus,"My bbri is safe, the price is even though it is minus",positif,negatif,-0.8499441847
2025-02-19 09:41:57+00:00,admr adro amrt arto asri bbca bbri blta bnii bren bumi byan cleo dssa elsa excl goto gpso hero imas indy jsmr kaef keju kija laju map midi pgeo sido tays tlkm unvr,admr adro amrt arto asri bbca bbri blta bnii bren bumi byan cleo dssa elsa excl goto gpso hero imas indy jsmr kaef keju kija laju map midi pgeo sido tays tlkm unvr,netral,netral,0
2025-02-19 11:33:34+00:00,ihsg jeblok banking sector nya indonesia jeblok bbca bmri bbri ambles sekarang banking sector cermin kondisi ekonomi suatu negara tanda nya ekonomi indonesia enggak bagus rupiah lemah usd level,"JCI has plummeted, Indonesia's banking sector has plummeted, BBCA, BMRI, BBR has collapsed, and the banking sector is now a reflection of a country's economic condition, a sign that Indonesia's economy is not good, the rupiah is weak, USD level",negatif,negatif,-0.7678503396
2025-02-19 23:19:14+00:00,sangat tarik lihat zp akumulasi bbri dekat pbv per minimal nya level tarik perhati pbv min low jadi an max nya risk reward jauh bbri ratio ttm last lk ku pe pbv pas npm,"very interesting to see the accumulated ZP of BBR near the minimum PBV level, pay attention to the minimum PBV, so the maximum risk reward is far from BBR ratio, last time I pe PBV when NPM",positif,negatif,-0.360036057
2025-02-20 00:19:17+00:00,ihsg technical view ihsg kemarin tutup lemah level serta net sell asing t all market saham paling banyak jual asing bbca bmri amrt bbri eraa,"JCI technical view JCI yesterday closed at a weak level and net foreign sell in all stock markets, most foreigners sold were BBCA, BMRI, AMRT, BBR, Eraa.",negatif,negatif,-0.9242049867
2025-02-20 01:48:25+00:00,bbri punya track record luar biasa jangan takut sama spekulasi cek data uang tetap kokoh,"bbri has an extraordinary track record, don't be afraid of speculation, check the data, money remains strong",positif,positif,0.6353832808
2025-02-20 01:48:56+00:00,fundamental bbri solid banget jangan gampang percaya isu negatif bisnis tumbuh pesat,"Bbri's fundamentals are very solid, don't easily believe negative issues, the business is growing rapidly",positif,positif,0.8834930204
2025-02-20 02:10:44+00:00,fundamental bbri uji jangan makan isu cek lapor uang tetap stabil,bbri fundamental test don't eat the issue check report money remains stable,positif,positif,0.9062421541
2025-02-20 02:16:28+00:00,saham bbri enggak goyah cuma garagara konten negatif fundamental tetap solid bisnis tetap maju,"BBR shares are not shaky just because of negative content, fundamentals remain solid, business continues to progress",positif,positif,0.9559779644
2025-02-20 02:19:30+00:00,saham bbri diomongin negatif fundamental tetap stabil bisnis tetap cuan,"Bbri shares are said to be negative, fundamentals remain stable, business remains profitable",positif,positif,0.9696494541
2025-02-20 02:20:05+00:00,banyak coba bikin takut pegang saham bbri nyata bisnis tetap tumbuh,"Many people try to scare you into holding BBR shares, but the real business continues to grow.",positif,positif,0.806628223
2025-02-20 02:22:29+00:00,jangan keburu panik bbri tetap punya fundamental kokoh bisnis tetap kembang,"Don't panic, BBR still has strong fundamentals and the business continues to grow.",positif,positif,0.9445882271
2025-02-20 02:27:34+00:00,saham bbri tetap tarik bisnis kembang laba terus naik fundamental tetap top,"Bbri shares continue to attract business growth, profits continue to rise, fundamentals remain top",positif,positif,0.9752997232
2025-02-20 02:28:51+00:00,banyak nakutnakutin soal bbri data enggak bohong fundamental tetap solid,"There are many scaremongers about BBR, the data doesn't lie, the fundamentals remain solid",positif,positif,0.9566119845
2025-02-20 02:33:58+00:00,bbri buyback rp triliun bbri buyback saham nila rp triliun program kuat harga saham amp tingkat eps buyback langsung maret maret saat cuan,bbri buyback rp trillion bbri buyback shares nila rp trillion strong program stock price amp eps level direct buyback march march when cuan,positif,positif,0.8601120226
2025-02-20 06:36:15+00:00,intip dividen bumn masuk danantara bri bbri besar,peek at BUMN dividends entering Danantara BRI BBR large,positif,positif,0.5409860433
2025-02-20 07:28:31+00:00,asa enggak bbri doang bank lesu,hope not only bbri bank sluggish,negatif,negatif,-0.3609645752
2025-02-20 07:46:06+00:00,bbri otw serokk,bbri otw serokk,positif,negatif,-0.435642142
2025-02-20 07:58:20+00:00,cicil beli bbri entar sore tanggal kan msci tambah,installment buy bbri this afternoon date can msci add,positif,negatif,-0.2471722724
2025-02-20 08:57:47+00:00,pas kali tutup bbri tebak gua besok mau genting ach tebak genap ganjil,"When BRI closes, I guess tomorrow it's going to be critical, I guess it's even, odd",netral,negatif,-0.6143717786
2025-02-20 09:31:09+00:00,heboh seru tarik dana bank respons bri bbri,exciting excitement withdrawing funds from BRI bank response,negatif,positif,0.5430997683
2025-02-20 09:37:46+00:00,data amp wifi benerbener selamat porto jantung enggak aman hantam mulu sama pan bbri,data amp wifi really safe porto jantung not safe hit always with pan bbri,negatif,negatif,-0.3473956604
